C:\Users\stick\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\stable_baselines3\common\buffers.py:229: UserWarning: This system does not have apparently enough memory to store the complete replay buffer 28.24GB > 4.49GB
  warnings.warn(
global_step=81727, episodic_return=-9500.0
SPS: 159
SPS: 159
global_step=81911, episodic_return=-34900.0
SPS: 159
global_step=82096, episodic_return=-15900.0
SPS: 158
SPS: 158
global_step=82280, episodic_return=-15600.0
SPS: 158
SPS: 157
global_step=82460, episodic_return=-6700.0
SPS: 157
SPS: 157
global_step=82644, episodic_return=-14200.0
SPS: 157
SPS: 156
global_step=82823, episodic_return=-12500.0
SPS: 156
SPS: 156
global_step=83001, episodic_return=-6700.0
SPS: 156
global_step=83181, episodic_return=-11000.0
SPS: 155
SPS: 155
global_step=83363, episodic_return=-6400.0
SPS: 155
SPS: 155
global_step=83544, episodic_return=-13300.0
SPS: 154
SPS: 154
global_step=83722, episodic_return=-10700.0
SPS: 154
SPS: 154
global_step=83905, episodic_return=-11300.0
SPS: 153
global_step=84084, episodic_return=-12300.0
SPS: 153
SPS: 153
global_step=84264, episodic_return=-6500.0
SPS: 153
SPS: 152
global_step=84442, episodic_return=-16200.0
SPS: 152
SPS: 152
global_step=84622, episodic_return=-13600.0
SPS: 152
SPS: 151
global_step=84804, episodic_return=7800.0
SPS: 151
global_step=84987, episodic_return=-8200.0
SPS: 151
SPS: 151
global_step=85170, episodic_return=-16800.0
SPS: 150
SPS: 150
global_step=85348, episodic_return=-11200.0
SPS: 150
SPS: 150
global_step=85532, episodic_return=-20700.0
SPS: 149
SPS: 149
global_step=85715, episodic_return=-9200.0
SPS: 149
global_step=85899, episodic_return=-19700.0
SPS: 149
SPS: 149
global_step=86077, episodic_return=-15100.0
SPS: 148
SPS: 148
global_step=86257, episodic_return=-11600.0
SPS: 148
SPS: 148
global_step=86438, episodic_return=-7400.0
SPS: 147
SPS: 147
global_step=86616, episodic_return=-13900.0
SPS: 147
global_step=86796, episodic_return=-20700.0
SPS: 147
SPS: 147
global_step=86976, episodic_return=-9000.0
SPS: 146
SPS: 146
global_step=87159, episodic_return=-2700.0
SPS: 146
SPS: 146
global_step=87338, episodic_return=-7000.0
SPS: 145
SPS: 145
global_step=87520, episodic_return=-5000.0
SPS: 145
global_step=87699, episodic_return=-12700.0
SPS: 145
SPS: 145
global_step=87878, episodic_return=-4800.0
SPS: 144
SPS: 144
global_step=88060, episodic_return=-4800.0
SPS: 144
SPS: 144
global_step=88240, episodic_return=-7900.0
SPS: 144
SPS: 143
global_step=88422, episodic_return=-8100.0
SPS: 143
SPS: 143
global_step=88606, episodic_return=-20700.0
SPS: 143
global_step=88785, episodic_return=-18900.0
SPS: 143
SPS: 142
global_step=88967, episodic_return=-30000.0
SPS: 142
SPS: 142
global_step=89146, episodic_return=-16600.0
SPS: 142
SPS: 142
global_step=89326, episodic_return=-10600.0
SPS: 141
SPS: 141
global_step=89509, episodic_return=-15500.0
SPS: 141
global_step=89687, episodic_return=-11500.0
SPS: 141
SPS: 141
global_step=89865, episodic_return=-9400.0
SPS: 140
SPS: 140
global_step=90046, episodic_return=-8100.0
SPS: 140
SPS: 140
global_step=90225, episodic_return=-13600.0
SPS: 140
SPS: 140
global_step=90405, episodic_return=-5300.0
SPS: 139
global_step=90584, episodic_return=-2100.0
SPS: 139
SPS: 139
global_step=90769, episodic_return=-7000.0
SPS: 139
SPS: 139
global_step=90948, episodic_return=-7800.0
SPS: 138
SPS: 138
global_step=91130, episodic_return=-17800.0
SPS: 138
SPS: 138
global_step=91315, episodic_return=-2400.0
