C:\Users\stick\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\stable_baselines3\common\buffers.py:229: UserWarning: This system does not have apparently enough memory to store the complete replay buffer 28.24GB > 5.03GB
  warnings.warn(
SPS: 218
global_step=93728, episodic_return=357.0
SPS: 218
global_step=93887, episodic_return=399.0
SPS: 217
SPS: 217
global_step=94032, episodic_return=210.0
SPS: 216
SPS: 216
global_step=94239, episodic_return=462.0
SPS: 215
global_step=94382, episodic_return=357.0
SPS: 215
SPS: 214
global_step=94520, episodic_return=357.0
SPS: 214
global_step=94671, episodic_return=399.0
SPS: 214
SPS: 213
global_step=94826, episodic_return=273.0
SPS: 213
global_step=94998, episodic_return=399.0
SPS: 212
SPS: 212
global_step=95187, episodic_return=504.0
SPS: 211
SPS: 211
global_step=95346, episodic_return=357.0
SPS: 210
SPS: 210
global_step=95533, episodic_return=420.0
SPS: 210
global_step=95615, episodic_return=147.0
SPS: 209
SPS: 209
global_step=95819, episodic_return=462.0
SPS: 208
SPS: 208
global_step=96022, episodic_return=336.0
SPS: 208
SPS: 207
global_step=96265, episodic_return=609.0
SPS: 207
SPS: 206
global_step=96475, episodic_return=567.0
SPS: 206
SPS: 205
global_step=96647, episodic_return=483.0
SPS: 205
SPS: 205
global_step=96856, episodic_return=462.0
SPS: 204
SPS: 204
global_step=97048, episodic_return=420.0
SPS: 204
global_step=97172, episodic_return=336.0
SPS: 203
SPS: 203
global_step=97367, episodic_return=378.0
SPS: 202
SPS: 202
global_step=97534, episodic_return=399.0
SPS: 202
SPS: 201
global_step=97750, episodic_return=483.0
SPS: 201
global_step=97893, episodic_return=336.0
SPS: 200
SPS: 200
global_step=98024, episodic_return=168.0
SPS: 200
global_step=98152, episodic_return=273.0
SPS: 199
SPS: 199
global_step=98355, episodic_return=546.0
SPS: 199
global_step=98479, episodic_return=399.0
SPS: 198
SPS: 198
SPS: 198
global_step=98722, episodic_return=546.0
SPS: 197
SPS: 197
global_step=98917, episodic_return=567.0
SPS: 196
SPS: 196
global_step=99152, episodic_return=525.0
SPS: 196
SPS: 195
global_step=99388, episodic_return=567.0
SPS: 195
SPS: 195
global_step=99564, episodic_return=441.0
SPS: 194
SPS: 194
SPS: 194
global_step=99804, episodic_return=703.0
global_step=99899, episodic_return=189.0
SPS: 193
SPS: 193
SPS: 193
global_step=100163, episodic_return=661.0
SPS: 192
SPS: 192
global_step=100370, episodic_return=504.0
SPS: 192
SPS: 191
SPS: 191
global_step=100626, episodic_return=609.0
SPS: 191
SPS: 191
global_step=100894, episodic_return=693.0
SPS: 190
SPS: 190
global_step=101085, episodic_return=462.0
SPS: 190
SPS: 189
SPS: 189
SPS: 189
global_step=101436, episodic_return=756.0
SPS: 188
global_step=101552, episodic_return=378.0
SPS: 188
SPS: 188
global_step=101776, episodic_return=546.0
SPS: 187
SPS: 187
global_step=101932, episodic_return=441.0
SPS: 187
SPS: 187
SPS: 186
global_step=102221, episodic_return=703.0
SPS: 186
SPS: 186
global_step=102479, episodic_return=693.0
SPS: 185
SPS: 185
SPS: 185
global_step=102722, episodic_return=567.0
SPS: 185
global_step=102897, episodic_return=420.0
SPS: 184
SPS: 184
SPS: 184
global_step=103152, episodic_return=609.0
SPS: 183
SPS: 183
SPS: 183
global_step=103414, episodic_return=682.0
SPS: 183
SPS: 182
SPS: 182
SPS: 182
global_step=103869, episodic_return=1060.0
SPS: 182
SPS: 181
SPS: 181
global_step=104120, episodic_return=651.0
SPS: 181
SPS: 181
global_step=104324, episodic_return=588.0
SPS: 180
global_step=104457, episodic_return=210.0
SPS: 180
SPS: 180
global_step=104694, episodic_return=609.0
SPS: 179
SPS: 179
global_step=104887, episodic_return=483.0
SPS: 179
SPS: 179
SPS: 178
global_step=105138, episodic_return=672.0
SPS: 178
SPS: 178
SPS: 178
global_step=105448, episodic_return=797.0
SPS: 177
SPS: 177
global_step=105647, episodic_return=378.0
SPS: 177
SPS: 177
global_step=105888, episodic_return=588.0
SPS: 176
SPS: 176
SPS: 176
global_step=106133, episodic_return=724.0
SPS: 176
SPS: 175
SPS: 175
global_step=106457, episodic_return=630.0
SPS: 175
SPS: 175
SPS: 175
global_step=106731, episodic_return=859.0
SPS: 174
SPS: 174
SPS: 174
global_step=107065, episodic_return=838.0
SPS: 174
SPS: 173
SPS: 173
global_step=107303, episodic_return=609.0
SPS: 173
SPS: 173
global_step=107596, episodic_return=651.0
SPS: 173
SPS: 172
SPS: 172
global_step=107873, episodic_return=609.0
SPS: 172
SPS: 172
SPS: 171
global_step=108147, episodic_return=703.0
SPS: 171
SPS: 171
SPS: 171
global_step=108449, episodic_return=651.0
SPS: 171
SPS: 170
SPS: 170
global_step=108753, episodic_return=828.0
SPS: 170
SPS: 170
SPS: 169
global_step=109016, episodic_return=651.0
SPS: 169
SPS: 169
global_step=109294, episodic_return=672.0
SPS: 169
SPS: 169
global_step=109414, episodic_return=105.0
SPS: 168
SPS: 168
SPS: 168
global_step=109772, episodic_return=922.0
SPS: 168
SPS: 168
global_step=109904, episodic_return=252.0
SPS: 167
SPS: 167
global_step=110199, episodic_return=651.0
SPS: 167
SPS: 167
SPS: 167
global_step=110447, episodic_return=651.0
SPS: 166
SPS: 166
global_step=110647, episodic_return=483.0
SPS: 165
SPS: 165
SPS: 165
SPS: 165
global_step=111070, episodic_return=630.0
SPS: 164
global_step=111175, episodic_return=273.0
SPS: 164
SPS: 164
SPS: 164
global_step=111500, episodic_return=808.0
SPS: 164
SPS: 163
global_step=111668, episodic_return=399.0
SPS: 163
SPS: 163
global_step=111813, episodic_return=252.0
SPS: 163
SPS: 163
SPS: 163
global_step=112123, episodic_return=609.0
SPS: 162
SPS: 162
global_step=112388, episodic_return=765.0
SPS: 162
SPS: 162
SPS: 162
global_step=112656, episodic_return=630.0
SPS: 161
global_step=112800, episodic_return=315.0
SPS: 161
SPS: 161
global_step=112922, episodic_return=315.0
SPS: 161
SPS: 161
global_step=113182, episodic_return=483.0
SPS: 161
SPS: 160
SPS: 160
SPS: 160
global_step=113527, episodic_return=609.0
SPS: 160
SPS: 160
SPS: 160
SPS: 159
global_step=113913, episodic_return=714.0
SPS: 159
SPS: 159
SPS: 159
SPS: 159
global_step=114303, episodic_return=682.0
SPS: 159
SPS: 158
SPS: 158
global_step=114616, episodic_return=399.0
SPS: 158
SPS: 158
SPS: 158
global_step=114903, episodic_return=399.0
SPS: 158
global_step=115091, episodic_return=168.0
SPS: 157
SPS: 157
SPS: 157
SPS: 157
global_step=115474, episodic_return=399.0
SPS: 157
global_step=115549, episodic_return=84.0
SPS: 157
SPS: 156
SPS: 156
global_step=115866, episodic_return=630.0
SPS: 156
SPS: 156
SPS: 156
global_step=116126, episodic_return=546.0
SPS: 155
SPS: 155
SPS: 155
SPS: 155
global_step=116505, episodic_return=909.0
SPS: 154
SPS: 154
SPS: 154
global_step=116846, episodic_return=399.0
SPS: 154
global_step=116990, episodic_return=168.0
SPS: 154
SPS: 154
SPS: 153
SPS: 153
SPS: 153
global_step=117471, episodic_return=525.0
SPS: 153
SPS: 153
SPS: 153
SPS: 152
global_step=117801, episodic_return=630.0
SPS: 152
SPS: 152
global_step=118089, episodic_return=483.0
SPS: 152
SPS: 152
SPS: 152
SPS: 152
SPS: 151
global_step=118504, episodic_return=922.0
SPS: 151
SPS: 151
SPS: 151
global_step=118837, episodic_return=703.0
SPS: 151
SPS: 151
SPS: 150
global_step=119125, episodic_return=776.0
SPS: 150
SPS: 150
global_step=119392, episodic_return=713.0
SPS: 150
SPS: 150
SPS: 150
global_step=119630, episodic_return=755.0
SPS: 149
SPS: 149
global_step=119894, episodic_return=713.0
SPS: 149
SPS: 149
SPS: 149
SPS: 148
global_step=120227, episodic_return=819.0
SPS: 148
SPS: 148
SPS: 148
global_step=120508, episodic_return=651.0
SPS: 148
SPS: 148
global_step=120795, episodic_return=651.0
SPS: 147
SPS: 147
SPS: 147
SPS: 147
global_step=121154, episodic_return=1035.0
SPS: 147
SPS: 147
SPS: 147
global_step=121485, episodic_return=703.0
SPS: 146
SPS: 146
SPS: 146
global_step=121788, episodic_return=630.0
SPS: 146
SPS: 146
SPS: 146
SPS: 145
SPS: 145
SPS: 145
global_step=122399, episodic_return=1582.0
SPS: 145
SPS: 145
SPS: 145
global_step=122676, episodic_return=546.0
SPS: 145
SPS: 145
SPS: 144
global_step=122965, episodic_return=859.0
SPS: 144
SPS: 144
SPS: 144
global_step=123246, episodic_return=713.0
SPS: 144
SPS: 144
global_step=123499, episodic_return=682.0
SPS: 144
SPS: 144
SPS: 144
SPS: 143
global_step=123818, episodic_return=806.0
SPS: 143
SPS: 143
SPS: 143
global_step=124167, episodic_return=672.0
SPS: 143
SPS: 143
SPS: 143
SPS: 143
global_step=124525, episodic_return=858.0
SPS: 142
SPS: 142
global_step=124790, episodic_return=693.0
SPS: 142
SPS: 142
SPS: 142
global_step=125067, episodic_return=713.0
SPS: 142
SPS: 142
SPS: 142
global_step=125375, episodic_return=795.0
SPS: 142
SPS: 141
SPS: 141
SPS: 141
SPS: 141
SPS: 141
SPS: 141
SPS: 141
global_step=126127, episodic_return=1582.0
SPS: 141
SPS: 141
SPS: 140
global_step=126465, episodic_return=651.0
SPS: 140
SPS: 140
SPS: 140
SPS: 140
global_step=126820, episodic_return=909.0
SPS: 140
SPS: 140
global_step=127083, episodic_return=786.0
SPS: 140
SPS: 140
SPS: 140
global_step=127330, episodic_return=724.0
SPS: 139
SPS: 139
SPS: 139
global_step=127681, episodic_return=745.0
SPS: 139
SPS: 139
SPS: 139
global_step=127956, episodic_return=630.0
SPS: 139
SPS: 139
SPS: 139
global_step=128265, episodic_return=703.0
SPS: 139
SPS: 138
SPS: 138
SPS: 138
global_step=128609, episodic_return=713.0
SPS: 138
SPS: 138
global_step=128888, episodic_return=661.0
SPS: 138
SPS: 138
SPS: 138
SPS: 138
global_step=129226, episodic_return=692.0
SPS: 138
SPS: 137
SPS: 137
global_step=129518, episodic_return=692.0
SPS: 137
SPS: 137
SPS: 137
global_step=129864, episodic_return=609.0
SPS: 137
global_step=129993, episodic_return=42.0
SPS: 137
SPS: 137
SPS: 137
SPS: 137
global_step=130351, episodic_return=857.0
SPS: 136
SPS: 136
SPS: 136
SPS: 136
global_step=130736, episodic_return=929.0
SPS: 136
SPS: 136
SPS: 136
global_step=131017, episodic_return=630.0
SPS: 136
SPS: 136
SPS: 136
global_step=131384, episodic_return=899.0
SPS: 135
SPS: 135
SPS: 135
SPS: 135
global_step=131730, episodic_return=836.0
SPS: 135
SPS: 135
SPS: 135
global_step=132054, episodic_return=775.0
SPS: 134
SPS: 134
SPS: 134
SPS: 134
SPS: 134
SPS: 134
SPS: 134
global_step=132738, episodic_return=1728.0
SPS: 134
SPS: 134
SPS: 134
global_step=133007, episodic_return=787.0
SPS: 133
SPS: 133
SPS: 133
SPS: 133
SPS: 133
SPS: 133
SPS: 133
global_step=133750, episodic_return=1747.0
SPS: 133
SPS: 133
SPS: 132
global_step=134061, episodic_return=806.0
SPS: 132
SPS: 132
SPS: 132
SPS: 132
global_step=134441, episodic_return=1005.0
SPS: 132
SPS: 132
SPS: 132
global_step=134735, episodic_return=703.0
SPS: 132
SPS: 132
SPS: 132
SPS: 132
SPS: 131
SPS: 131
SPS: 131
global_step=135446, episodic_return=1889.0
SPS: 131
SPS: 131
SPS: 131
global_step=135736, episodic_return=703.0
SPS: 131
SPS: 131
SPS: 131
SPS: 131
SPS: 130
SPS: 130
SPS: 130
global_step=136482, episodic_return=1571.0
SPS: 130
SPS: 130
SPS: 130
SPS: 130
global_step=136812, episodic_return=650.0
SPS: 130
SPS: 130
SPS: 130
global_step=137191, episodic_return=724.0
SPS: 129
SPS: 129
SPS: 129
SPS: 129
SPS: 129
global_step=137609, episodic_return=878.0
SPS: 129
SPS: 129
SPS: 129
SPS: 129
SPS: 128
SPS: 128
SPS: 128
SPS: 128
SPS: 128
SPS: 128
SPS: 128
global_step=138797, episodic_return=1664.0
SPS: 128
SPS: 128
SPS: 128
global_step=139092, episodic_return=744.0
SPS: 128
SPS: 127
SPS: 127
global_step=139368, episodic_return=651.0
SPS: 127
SPS: 127
SPS: 127
global_step=139673, episodic_return=504.0
SPS: 127
SPS: 127
SPS: 127
SPS: 127
SPS: 127
global_step=140105, episodic_return=979.0
SPS: 126
SPS: 126
SPS: 126
global_step=140407, episodic_return=797.0
SPS: 126
SPS: 126
SPS: 126
global_step=140761, episodic_return=804.0
SPS: 126
SPS: 126
SPS: 126
SPS: 126
global_step=141164, episodic_return=744.0
SPS: 126
SPS: 125
SPS: 125
SPS: 125
SPS: 125
global_step=141634, episodic_return=959.0
SPS: 125
SPS: 125
SPS: 125
global_step=141923, episodic_return=650.0
SPS: 125
SPS: 125
SPS: 125
SPS: 125
SPS: 124
global_step=142445, episodic_return=1159.0
SPS: 124
SPS: 124
SPS: 124
global_step=142716, episodic_return=682.0
SPS: 124
SPS: 124
SPS: 124
global_step=143062, episodic_return=763.0
SPS: 124
SPS: 124
SPS: 124
SPS: 124
global_step=143467, episodic_return=918.0
SPS: 123
SPS: 123
SPS: 123
SPS: 123
SPS: 123
SPS: 123
SPS: 123
SPS: 123
SPS: 123
SPS: 123
global_step=144458, episodic_return=1631.0
SPS: 123
SPS: 123
SPS: 122
global_step=144777, episodic_return=806.0
SPS: 122
SPS: 122
SPS: 122
SPS: 122
global_step=145164, episodic_return=775.0
SPS: 122
SPS: 122
SPS: 122
SPS: 122
global_step=145564, episodic_return=671.0
SPS: 122
SPS: 122
SPS: 121
SPS: 121
global_step=145920, episodic_return=650.0
SPS: 121
SPS: 121
SPS: 121
global_step=146298, episodic_return=827.0
SPS: 121
SPS: 121
SPS: 121
SPS: 121
global_step=146601, episodic_return=734.0
SPS: 121
SPS: 121
SPS: 121
SPS: 121
global_step=147002, episodic_return=888.0
SPS: 120
SPS: 120
SPS: 120
SPS: 120
global_step=147453, episodic_return=825.0
SPS: 120
SPS: 120
SPS: 120
SPS: 120
SPS: 120
SPS: 120
global_step=148034, episodic_return=1277.0
SPS: 120
SPS: 120
SPS: 120
SPS: 120
SPS: 120
global_step=148551, episodic_return=1244.0
SPS: 119
SPS: 119
SPS: 119
global_step=148879, episodic_return=722.0
